filename,result,frame,conf
crop_0099_f00162_c0.52_55-56min.jpg,,00162,0.52
crop_0100_f00163_c0.35_55-56min.jpg,,00163,0.35
crop_0101_f00166_c0.38_55-56min.jpg,,00166,0.38
crop_0102_f00168_c0.38_55-56min.jpg,,00168,0.38
crop_0103_f00170_c0.51_55-56min.jpg,,00170,0.51
crop_0104_f00170_c0.48_55-56min.jpg,,00170,0.48
crop_0105_f00171_c0.51_55-56min.jpg,,00171,0.51
crop_0106_f00171_c0.37_55-56min.jpg,,00171,0.37
crop_0107_f00172_c0.66_55-56min.jpg,,00172,0.66
crop_0108_f00172_c0.45_55-56min.jpg,,00172,0.45
crop_0109_f00173_c0.61_55-56min.jpg,,00173,0.61
crop_0110_f00173_c0.46_55-56min.jpg,,00173,0.46
crop_0111_f00174_c0.63_55-56min.jpg,,00174,0.63
crop_0112_f00174_c0.35_55-56min.jpg,,00174,0.35
crop_0113_f00175_c0.43_55-56min.jpg,,00175,0.43
crop_0114_f00176_c0.59_55-56min.jpg,,00176,0.59
crop_0115_f00177_c0.62_55-56min.jpg,,00177,0.62
crop_0116_f00179_c0.51_55-56min.jpg,,00179,0.51
crop_0117_f00181_c0.45_55-56min.jpg,,00181,0.45
crop_0118_f00181_c0.38_55-56min.jpg,,00181,0.38
crop_0119_f00182_c0.44_55-56min.jpg,,00182,0.44
crop_0120_f00183_c0.42_55-56min.jpg,,00183,0.42
crop_0121_f00183_c0.39_55-56min.jpg,,00183,0.39
crop_0122_f00184_c0.37_55-56min.jpg,,00184,0.37
crop_0123_f00185_c0.43_55-56min.jpg,,00185,0.43
crop_0124_f00186_c0.47_55-56min.jpg,,00186,0.47
crop_0125_f00187_c0.46_55-56min.jpg,,00187,0.46
crop_0126_f00187_c0.44_55-56min.jpg,,00187,0.44
crop_0127_f00188_c0.43_55-56min.jpg,,00188,0.43
crop_0128_f00189_c0.58_55-56min.jpg,,00189,0.58
crop_0129_f00190_c0.56_55-56min.jpg,,00190,0.56
crop_0130_f00191_c0.37_55-56min.jpg,,00191,0.37
crop_0131_f00192_c0.56_55-56min.jpg,,00192,0.56
crop_0132_f00193_c0.47_55-56min.jpg,,00193,0.47
crop_0133_f00193_c0.44_55-56min.jpg,,00193,0.44
crop_0134_f00194_c0.43_55-56min.jpg,,00194,0.43
crop_0135_f00195_c0.44_55-56min.jpg,,00195,0.44
crop_0136_f00195_c0.41_55-56min.jpg,,00195,0.41
crop_0137_f00196_c0.61_55-56min.jpg,,00196,0.61
crop_0138_f00197_c0.52_55-56min.jpg,,00197,0.52
crop_0139_f00198_c0.52_55-56min.jpg,,00198,0.52
crop_0140_f00199_c0.62_55-56min.jpg,,00199,0.62
crop_0141_f00199_c0.45_55-56min.jpg,,00199,0.45
crop_0142_f00200_c0.58_55-56min.jpg,,00200,0.58
crop_0143_f00201_c0.60_55-56min.jpg,,00201,0.60
crop_0144_f00202_c0.61_55-56min.jpg,,00202,0.61
